/SAR_out_analog X,/SAR_out_analog Y,/Vin X,/Vin Y,/out0 X,/out0 Y,/out1 X,/out1 Y,/out2 X,/out2 Y,/out3 X,/out3 Y,/out4 X,/out4 Y
3.111000000000004e-07,0.015625,3.111000000000004e-07,0.03111000000000961,3.111000000000004e-07,1.8,3.111000000000004e-07,0,3.111000000000004e-07,0,3.111000000000004e-07,0,3.111000000000004e-07,0
3.162000000000005e-07,0.015625,3.162000000000005e-07,0.03162000000000301,3.162000000000005e-07,1.8,3.162000000000005e-07,0,3.162000000000005e-07,0,3.162000000000005e-07,0,3.162000000000005e-07,0
3.213000000000005e-07,0.015625,3.213000000000005e-07,0.03213000000000583,3.213000000000005e-07,1.8,3.213000000000005e-07,0,3.213000000000005e-07,0,3.213000000000005e-07,0,3.213000000000005e-07,0
3.264000000000005e-07,0.015625,3.264000000000005e-07,0.03264000000000019,3.264000000000005e-07,1.8,3.264000000000005e-07,0,3.264000000000005e-07,0,3.264000000000005e-07,0,3.264000000000005e-07,0
3.315000000000005e-07,0.015625,3.315000000000005e-07,0.03315000000000887,3.315000000000005e-07,1.8,3.315000000000005e-07,0,3.315000000000005e-07,0,3.315000000000005e-07,0,3.315000000000005e-07,0
3.366000000000005e-07,0.015625,3.366000000000005e-07,0.03366000000000152,3.366000000000005e-07,1.8,3.366000000000005e-07,0,3.366000000000005e-07,0,3.366000000000005e-07,0,3.366000000000005e-07,0
3.417000000000005e-07,0.015625,3.417000000000005e-07,0.03417000000000736,3.417000000000005e-07,1.8,3.417000000000005e-07,0,3.417000000000005e-07,0,3.417000000000005e-07,0,3.417000000000005e-07,0
3.468000000000005e-07,0.03125,3.468000000000005e-07,0.03468000000000095,3.468000000000005e-07,0,3.468000000000005e-07,1.8,3.468000000000005e-07,0,3.468000000000005e-07,0,3.468000000000005e-07,0
3.519000000000006e-07,0.03125,3.519000000000006e-07,0.03519000000000963,3.519000000000006e-07,0,3.519000000000006e-07,1.8,3.519000000000006e-07,0,3.519000000000006e-07,0,3.519000000000006e-07,0
3.570000000000006e-07,0.03125,3.570000000000006e-07,0.03570000000000455,3.570000000000006e-07,0,3.570000000000006e-07,1.8,3.570000000000006e-07,0,3.570000000000006e-07,0,3.570000000000006e-07,0
3.621000000000006e-07,0.03125,3.621000000000006e-07,0.03621000000000573,3.621000000000006e-07,0,3.621000000000006e-07,1.8,3.621000000000006e-07,0,3.621000000000006e-07,0,3.621000000000006e-07,0
3.672000000000006e-07,0.03125,3.672000000000006e-07,0.03672000000000804,3.672000000000006e-07,0,3.672000000000006e-07,1.8,3.672000000000006e-07,0,3.672000000000006e-07,0,3.672000000000006e-07,0
3.723000000000006e-07,0.03125,3.723000000000006e-07,0.03723000000000758,3.723000000000006e-07,0,3.723000000000006e-07,1.8,3.723000000000006e-07,0,3.723000000000006e-07,0,3.723000000000006e-07,0
3.774000000000006e-07,0.03125,3.774000000000006e-07,0.03774000000000335,3.774000000000006e-07,0,3.774000000000006e-07,1.8,3.774000000000006e-07,0,3.774000000000006e-07,0,3.774000000000006e-07,0
3.825000000000006e-07,0.03125,3.825000000000006e-07,0.03825000000000141,3.825000000000006e-07,0,3.825000000000006e-07,1.8,3.825000000000006e-07,0,3.825000000000006e-07,0,3.825000000000006e-07,0
3.876000000000006e-07,0.03125,3.876000000000006e-07,0.03876000000000313,3.876000000000006e-07,0,3.876000000000006e-07,1.8,3.876000000000006e-07,0,3.876000000000006e-07,0,3.876000000000006e-07,0
3.927000000000007e-07,0.03125,3.927000000000007e-07,0.03927000000000693,3.927000000000007e-07,0,3.927000000000007e-07,1.8,3.927000000000007e-07,0,3.927000000000007e-07,0,3.927000000000007e-07,0
3.978000000000007e-07,0.03125,3.978000000000007e-07,0.03978000000000732,3.978000000000007e-07,0,3.978000000000007e-07,1.8,3.978000000000007e-07,0,3.978000000000007e-07,0,3.978000000000007e-07,0
4.029000000000007e-07,0.03125,4.029000000000007e-07,0.04029000000000934,4.029000000000007e-07,0,4.029000000000007e-07,1.8,4.029000000000007e-07,0,4.029000000000007e-07,0,4.029000000000007e-07,0
4.080000000000007e-07,0.03125,4.080000000000007e-07,0.04080000000000302,4.080000000000007e-07,0,4.080000000000007e-07,1.8,4.080000000000007e-07,0,4.080000000000007e-07,0,4.080000000000007e-07,0
4.131000000000007e-07,0.03125,4.131000000000007e-07,0.04131000000000757,4.131000000000007e-07,0,4.131000000000007e-07,1.8,4.131000000000007e-07,0,4.131000000000007e-07,0,4.131000000000007e-07,0
4.182000000000007e-07,0.03125,4.182000000000007e-07,0.0418200000000017,4.182000000000007e-07,0,4.182000000000007e-07,1.8,4.182000000000007e-07,0,4.182000000000007e-07,0,4.182000000000007e-07,0
4.233000000000007e-07,0.03125,4.233000000000007e-07,0.04233000000000051,4.233000000000007e-07,0,4.233000000000007e-07,1.8,4.233000000000007e-07,0,4.233000000000007e-07,0,4.233000000000007e-07,0
4.284000000000007e-07,0.03125,4.284000000000007e-07,0.04284000000000485,4.284000000000007e-07,0,4.284000000000007e-07,1.8,4.284000000000007e-07,0,4.284000000000007e-07,0,4.284000000000007e-07,0
4.335000000000008e-07,0.03125,4.335000000000008e-07,0.04335000000000659,4.335000000000008e-07,0,4.335000000000008e-07,1.8,4.335000000000008e-07,0,4.335000000000008e-07,0,4.335000000000008e-07,0
4.386000000000008e-07,0.03125,4.386000000000008e-07,0.04386000000000465,4.386000000000008e-07,0,4.386000000000008e-07,1.8,4.386000000000008e-07,0,4.386000000000008e-07,0,4.386000000000008e-07,0
4.437000000000008e-07,0.03125,4.437000000000008e-07,0.0443700000000052,4.437000000000008e-07,0,4.437000000000008e-07,1.8,4.437000000000008e-07,0,4.437000000000008e-07,0,4.437000000000008e-07,0
4.488000000000008e-07,0.03125,4.488000000000008e-07,0.04488000000000045,4.488000000000008e-07,0,4.488000000000008e-07,1.8,4.488000000000008e-07,0,4.488000000000008e-07,0,4.488000000000008e-07,0
4.539000000000008e-07,0.03125,4.539000000000008e-07,0.04539000000000182,4.539000000000008e-07,0,4.539000000000008e-07,1.8,4.539000000000008e-07,0,4.539000000000008e-07,0,4.539000000000008e-07,0
4.590000000000008e-07,0.03125,4.590000000000008e-07,0.04590000000000089,4.590000000000008e-07,0,4.590000000000008e-07,1.8,4.590000000000008e-07,0,4.590000000000008e-07,0,4.590000000000008e-07,0
4.641000000000008e-07,0.03125,4.641000000000008e-07,0.0464100000000033,4.641000000000008e-07,0,4.641000000000008e-07,1.8,4.641000000000008e-07,0,4.641000000000008e-07,0,4.641000000000008e-07,0
