/clk X,/clk Logic,/eoc X,/eoc Logic,/out0 X,/out0 Y,/out1 X,/out1 Y,/out2 X,/out2 Y,/out3 X,/out3 Y,/out4 X,/out4 Y,/SW_inp X,/SW_inp Y,/SAR_out_analog X,/SAR_out_analog Y,/Vin X,/Vin Y
1.85067e-07,0,  ,  ,5.0158625401e-09,0,5.0158625401e-09,0,5.0158625401e-09,0,5.0158625401e-09,0,5.0158625401e-09,0,5.0158625401e-09,4.235807824860261e-06,5.0158625401e-09,0,5.0158625401e-09,0.2141744119775131
1.90046e-07,1,  ,  ,5.02e-09,0,5.02e-09,0,5.02e-09,0,5.02e-09,0,5.02e-09,0,5.02e-09,4.235779077684373e-06,5.02e-09,0,5.02e-09,0.214186091536113
1.95067e-07,0,  ,  ,5.0204216069e-09,0,5.0204216069e-09,0,5.0204216069e-09,0,5.0204216069e-09,0,5.0204216069e-09,0,5.0204216069e-09,4.235776858570114e-06,5.0204216069e-09,0,5.0204216069e-09,0.2141872816807111
2.00046e-07,1,  ,  ,5.0211750117e-09,0,5.0211750117e-09,0,5.0211750117e-09,0,5.0211750117e-09,0,5.0211750117e-09,0,5.0211750117e-09,4.235772899436736e-06,5.0211750117e-09,0,5.0211750117e-09,0.2141894084492149
2.05067e-07,0,  ,  ,5.0220102571e-09,0,5.0220102571e-09,0,5.0220102571e-09,0,5.0220102571e-09,0,5.0220102571e-09,0,5.0220102571e-09,4.235768687864004e-06,5.0220102571e-09,0,5.0220102571e-09,0.2141917662423729
2.10046e-07,1,  ,  ,5.0235062995e-09,0,5.0235062995e-09,0,5.0235062995e-09,0,5.0235062995e-09,0,5.0235062995e-09,0,5.0235062995e-09,4.235761622236218e-06,5.0235062995e-09,0,5.0235062995e-09,0.2141959893795493
2.15067e-07,0,  ,  ,5.0264983843e-09,0,5.0264983843e-09,0,5.0264983843e-09,0,5.0264983843e-09,0,5.0264983843e-09,0,5.0264983843e-09,4.235749056381577e-06,5.0264983843e-09,0,5.0264983843e-09,0.2142044356417089
2.20046e-07,1,  ,  ,5.0312549661e-09,0,5.0312549661e-09,0,5.0312549661e-09,0,5.0312549661e-09,0,5.0312549661e-09,0,5.0312549661e-09,4.235732151244058e-06,5.0312549661e-09,0,5.0312549661e-09,0.2142178628137252
2.25067e-07,0,  ,  ,5.0369462096e-09,0,5.0369462096e-09,0,5.0369462096e-09,0,5.0369462096e-09,0,5.0369462096e-09,0,5.0369462096e-09,4.235714911213637e-06,5.0369462096e-09,0,5.0369462096e-09,0.2142339283518469
2.30046e-07,1,  ,  ,5.0440847531e-09,0,5.0440847531e-09,0,5.0440847531e-09,0,5.0440847531e-09,0,5.0440847531e-09,0,5.0440847531e-09,4.235695537791136e-06,5.0440847531e-09,0,5.0440847531e-09,0.2142540793204396
2.35067e-07,0,  ,  ,5.0497047354e-09,0,5.0497047354e-09,0,5.0497047354e-09,0,5.0497047354e-09,0,5.0497047354e-09,0,5.0497047354e-09,4.235681131254658e-06,5.0497047354e-09,0,5.0497047354e-09,0.2142699435681004
