Vin X,Vin Y,CLK X,CLK Y,REF X,REF Y,OUTN X,OUTN Y
5.266541526885863e-11,0.8000002068165418,5.266541526885863e-11,0.4100010915869637,5.266541526885863e-11,0.8,5.266541526885863e-11,0.5207330841037112
5.54004225701426e-11,0.8000002175568804,5.54004225701426e-11,0.4563986531677822,5.54004225701426e-11,0.8,5.54004225701426e-11,0.5274395283524029
5.794610441388981e-11,0.8000002275537396,5.794610441388981e-11,0.4983614250353977,5.794610441388981e-11,0.8,5.794610441388981e-11,0.5318566874590703
6.088132509991712e-11,0.8000002390803114,6.088132509991712e-11,0.5457276255103584,6.088132509991712e-11,0.8,6.088132509991712e-11,0.5340680571430756
6.423948700515285e-11,0.8000002522677661,6.423948700515285e-11,0.5988868650851231,6.423948700515285e-11,0.8,6.423948700515285e-11,0.5322158344383088
6.820508116855516e-11,0.8000002678405963,6.820508116855516e-11,0.6604425276666528,6.820508116855516e-11,0.8,6.820508116855516e-11,0.5235205041616579
7.319060806056001e-11,0.8000002874186837,7.319060806056001e-11,0.7360424194393013,7.319060806056001e-11,0.8,7.319060806056001e-11,0.5023030469284737
8.055628102671594e-11,0.8000003163435597,8.055628102671594e-11,0.8438856054189531,8.055628102671594e-11,0.8,8.055628102671594e-11,0.4505980218284036
8.482380277460334e-11,0.8000003331020423,8.482380277460334e-11,0.9039710216704053,8.482380277460334e-11,0.8,8.482380277460334e-11,0.4103816586397105
8.99271520278528e-11,0.8000003531427996,8.99271520278528e-11,0.9727793733718486,8.99271520278528e-11,0.8,8.99271520278528e-11,0.3552381469837117
9.378543425568051e-11,0.8000003682941981,9.378543425568051e-11,1.021769469782297,9.378543425568051e-11,0.8,9.378543425568051e-11,0.3114764859922972
9.66814983193145e-11,0.8000003796669825,9.66814983193145e-11,1.0564590474702,9.66814983193145e-11,0.8,9.66814983193145e-11,0.2792321274781681
9.943630160687519e-11,0.8000003904850369,9.943630160687519e-11,1.087890866902414,9.943630160687519e-11,0.8,9.943630160687519e-11,0.2499162704852769
1.025698207950661e-10,0.8000004027902983,1.025698207950661e-10,1.12209591981922,1.025698207950661e-10,0.8,1.025698207950661e-10,0.2186945815021825
1.0653223854136e-10,0.8000004183506226,1.0653223854136e-10,1.163375425805109,1.0653223854136e-10,0.8,1.0653223854136e-10,0.1828053298580207
1.119946751408788e-10,0.8000004398014802,1.119946751408788e-10,1.216991111386162,1.119946751408788e-10,0.8,1.119946751408788e-10,0.1399837138230332
1.179166707323852e-10,0.8000004630570053,1.179166707323852e-10,1.271050209057602,1.179166707323852e-10,0.8,1.179166707323852e-10,0.1018002001750811
1.247259338271339e-10,0.8000004897967947,1.247259338271339e-10,1.328612558167491,1.247259338271339e-10,0.8,1.247259338271339e-10,0.06796147208733407
1.331285410782633e-10,0.8000005227935829,1.331285410782633e-10,1.393503631972007,1.331285410782633e-10,0.8,1.331285410782633e-10,0.04244683947675022
1.366892826159608e-10,0.8000005367765018,1.366892826159608e-10,1.418453789032199,1.366892826159608e-10,0.8,1.366892826159608e-10,0.03692073338510995
1.395273803244253e-10,0.8000005479216183,1.395273803244253e-10,1.436328307128079,1.395273803244253e-10,0.8,1.395273803244253e-10,0.03337335496310895
1.423907346283489e-10,0.8000005591659138,1.423907346283489e-10,1.452086823977759,1.423907346283489e-10,0.8,1.423907346283489e-10,0.03004863791798222
1.45138420599237e-10,0.800000569955981,1.45138420599237e-10,1.46549520173182,1.45138420599237e-10,0.8,1.45138420599237e-10,0.02711986371074425
1.490218952023457e-10,0.8000005852062458,1.490218952023457e-10,1.48304206736403,1.490218952023457e-10,0.8,1.490218952023457e-10,0.02367738049690433
1.536724131155332e-10,0.8000006034686549,1.536724131155332e-10,1.503508906769635,1.536724131155332e-10,0.8,1.536724131155332e-10,0.02076196468754966
1.583935387633924e-10,0.8000006220083293,1.583935387633924e-10,1.524446192188875,1.583935387633924e-10,0.8,1.583935387633924e-10,0.01896473518403674
1.630655841885303e-10,0.8000006403552592,1.630655841885303e-10,1.545327055056313,1.630655841885303e-10,0.8,1.630655841885303e-10,0.01798208204051881
1.678757850225917e-10,0.8000006592447103,1.678757850225917e-10,1.566644601806056,1.678757850225917e-10,0.8,1.678757850225917e-10,0.01741784730412387
1.728819728546728e-10,0.8000006789037837,1.728819728546728e-10,1.58819486712916,1.728819728546728e-10,0.8,1.728819728546728e-10,0.01700016383727733
