/outn X,/outn Y,/input X,/input Y,/reference X,/reference Y,/CLK X,/CLK Y,diff X,diff Y
1.206401166298158e-10,0.07791425766979296,1.206401166298158e-10,0.9368256094549843,1.206401166298158e-10,0.4406736759950893,1.206401166298158e-10,1.295498475896585,1.206401166298158e-10,0.496151933459895
1.341375824044863e-10,0.05164652486304274,1.341375824044863e-10,0.9347805468154134,1.341375824044863e-10,0.4377722418567997,1.341375824044863e-10,1.400897208174816,1.341375824044863e-10,0.4970083049586138
1.401708089399743e-10,0.04722776793130406,1.401708089399743e-10,0.9356375609672085,1.401708089399743e-10,0.4366969084340612,1.401708089399743e-10,1.438666152142757,1.401708089399743e-10,0.4989406525331473
1.474241427058335e-10,0.03832171306402699,1.474241427058335e-10,0.9366913705697989,1.474241427058335e-10,0.4358316688796942,1.474241427058335e-10,1.478173346688312,1.474241427058335e-10,0.5008597016901047
1.544731784041136e-10,0.03038345054064572,1.544731784041136e-10,0.9377245101159517,1.544731784041136e-10,0.435673040000402,1.544731784041136e-10,1.511602864305866,1.544731784041136e-10,0.5020514701155497
1.609319834534517e-10,0.02537475462134391,1.609319834534517e-10,0.9384139313788797,1.609319834534517e-10,0.4356643452780467,1.609319834534517e-10,1.539649540804641,1.609319834534517e-10,0.5027495861008331
1.704766079926855e-10,0.02095584495932318,1.704766079926855e-10,0.93903506849281,1.704766079926855e-10,0.4356575196246,1.704766079926855e-10,1.579525302925215,1.704766079926855e-10,0.5033775488682101
1.802498412018e-10,0.01827717445673346,1.802498412018e-10,0.9393566935281393,1.802498412018e-10,0.4356359853723563,1.802498412018e-10,1.61785375831535,1.802498412018e-10,0.5037207081557831
1.90984851195241e-10,0.0157957733064197,1.90984851195241e-10,0.9395208752772194,1.90984851195241e-10,0.435598322673345,1.90984851195241e-10,1.654986198900816,1.90984851195241e-10,0.5039225526038744
2.022802026136657e-10,0.01319852887521475,2.022802026136657e-10,0.9395809617919668,2.022802026136657e-10,0.4355438263568404,2.022802026136657e-10,1.687463565627928,2.022802026136657e-10,0.5040371354351265
2.153119218944117e-10,0.01032935705421143,2.153119218944117e-10,0.9395887172408826,2.153119218944117e-10,0.4354750722196625,2.153119218944117e-10,1.716905739103918,2.153119218944117e-10,0.50411364502122
2.309892652528545e-10,0.007387379428257223,2.309892652528545e-10,0.9395671381039209,2.309892652528545e-10,0.4353911904553135,2.309892652528545e-10,1.742856358774041,2.309892652528545e-10,0.5041759476486074
2.511775534290452e-10,0.004607307293511442,2.511775534290452e-10,0.9395260223282937,2.511775534290452e-10,0.4352881168974408,2.511775534290452e-10,1.7650823242902,2.511775534290452e-10,0.5042379054308529
2.782982064039229e-10,0.002343406639052711,2.782982064039229e-10,0.9394691411566185,2.782982064039229e-10,0.4351598066607195,2.782982064039229e-10,1.782257460825576,2.782982064039229e-10,0.5043093344958991
3.1558459371982e-10,0.0008758085957555723,3.1558459371982e-10,0.9393955005919112,3.1558459371982e-10,0.4350003854884866,3.1558459371982e-10,1.793212456974382,3.1558459371982e-10,0.5043951151034246
3.593920642053298e-10,0.0002628273315462631,3.593920642053298e-10,0.9393167341210077,3.593920642053298e-10,0.4348328707942213,3.593920642053298e-10,1.797787210866992,3.593920642053298e-10,0.5044838633267864
4.146839474981535e-10,5.045723605468346e-05,4.146839474981535e-10,0.9392266814893674,4.146839474981535e-10,0.4346450912188336,4.146839474981535e-10,1.79938804516539,4.146839474981535e-10,0.5045815902705337
4.882053515538996e-10,4.595102635771659e-06,4.882053515538996e-10,0.9391215826519482,4.882053515538996e-10,0.4344278610637291,4.882053515538996e-10,1.799777868985518,4.882053515538996e-10,0.5046937215882191
5.992537876714049e-10,1.366885900699845e-06,5.992537876714049e-10,0.9389874520608469,5.992537876714049e-10,0.4341538338737617,5.992537876714049e-10,1.799844452738047,5.992537876714049e-10,0.5048336181870852
7.901446258114209e-10,7.782896922464537e-07,7.901446258114209e-10,0.9388040235214551,7.901446258114209e-10,0.4337869673449689,7.901446258114209e-10,1.799882981989753,7.901446258114209e-10,0.5050170561764862
1.111166370340098e-09,8.138255497205006e-07,1.111166370340098e-09,0.9385814906901591,1.111166370340098e-09,0.4333528514280176,1.111166370340098e-09,1.799935122308501,1.111166370340098e-09,0.5052286392621415
1.511166370340098e-09,-2.160214850800527e-07,1.511166370340098e-09,0.9383892786446133,1.511166370340098e-09,0.4329903965165414,1.511166370340098e-09,1.79995286093266,1.511166370340098e-09,0.5053988821280719
1.911166370340098e-09,5.854771104020898e-07,1.911166370340098e-09,0.9382499361601394,1.911166370340098e-09,0.4327347626877886,1.911166370340098e-09,1.79996925193497,1.911166370340098e-09,0.5055151734723509
2.311166370340098e-09,-3.70051873804649e-07,2.311166370340098e-09,0.938140954300922,2.311166370340098e-09,0.432540083353215,2.311166370340098e-09,1.799973686711936,2.311166370340098e-09,0.5056008709477071
2.711166370340097e-09,4.971732672081662e-07,2.711166370340097e-09,0.9380526621313505,2.711166370340097e-09,0.432384997875955,2.711166370340097e-09,1.799980529316696,2.711166370340097e-09,0.5056676642553954
3.111166370340097e-09,-3.708829250673018e-07,3.111166370340097e-09,0.9379780418070873,3.111166370340097e-09,0.4322566186499649,3.111166370340097e-09,1.799982415044328,3.111166370340097e-09,0.5057214231571224
3.511166370340097e-09,4.195061491045786e-07,3.511166370340097e-09,0.93791429702983,3.511166370340097e-09,0.432148142097319,3.511166370340097e-09,1.799985940613677,3.511166370340097e-09,0.505766154932511
3.911166370340097e-09,-3.306798870495125e-07,3.911166370340097e-09,0.9378580476839065,3.911166370340097e-09,0.4320541316226704,3.911166370340097e-09,1.799987009627754,3.911166370340097e-09,0.5058039160612361
4.311166370340097e-09,3.489652012510282e-07,4.311166370340097e-09,0.9378085125867536,4.311166370340097e-09,0.431971932744609,4.311166370340097e-09,1.799989085075657,4.311166370340097e-09,0.5058365798421446
4.711166370340098e-09,-2.820408446297617e-07,4.711166370340098e-09,0.9377635867238738,4.711166370340098e-09,0.4318986061569793,4.711166370340098e-09,1.79998978246648,4.711166370340098e-09,0.5058649805668944
5.01e-09,2.80957846207923e-07,5.01e-09,0.9377331739360645,5.01e-09,0.4318490789034563,5.01e-09,1.799990890630247,5.01e-09,0.5058840950326082
5.013352515515803e-09,-0.0007290738191957659,5.013352515515803e-09,0.9377028608157872,5.013352515515803e-09,0.431825549905005,5.013352515515803e-09,1.79738159471692,5.013352515515803e-09,0.5058773109107823
5.01641179306856e-09,-0.001267633557324688,5.01641179306856e-09,0.9376922558762288,5.01641179306856e-09,0.4318191680353458,5.01641179306856e-09,1.795184972354162,5.01641179306856e-09,0.505873087840883
5.02e-09,-0.0004744394805313363,5.02e-09,0.9377574770338546,5.02e-09,0.4318725552366263,5.02e-09,1.796409946213787,5.02e-09,0.5058849217972283
5.020477215528747e-09,-6.080991739947626e-05,5.020477215528747e-09,0.9377761341916516,5.020477215528747e-09,0.4318876831004227,5.020477215528747e-09,1.797470993111416,5.020477215528747e-09,0.5058884510912289
5.021311244993969e-09,0.0005018548533004554,5.021311244993969e-09,0.9377993416750925,5.021311244993969e-09,0.4319042331360963,5.021311244993969e-09,1.799320114831569,5.021311244993969e-09,0.5058951085389962
5.022108852826396e-09,0.0009990055707916499,5.022108852826396e-09,0.9378142036092556,5.022108852826396e-09,0.4319120856895756,5.022108852826396e-09,1.801106143945961,5.022108852826396e-09,0.5059021179196801
