/CLK X,/CLK Y,/out0 X,/out0 Y,/out1 X,/out1 Y,/out2 X,/out2 Y,/out3 X,/out3 Y,/out4 X,/out4 Y,/Vout X,/Vout Y,/Vin X,/Vin Y
8.4e-08,1.799994836504544,8.4e-08,0,8.4e-08,0,8.4e-08,0,8.4e-08,0,8.4e-08,0,8.4e-08,0,8.4e-08,0.01166666666667192
8.799999999999999e-08,-3.413745305538402e-08,8.799999999999999e-08,0,8.799999999999999e-08,0,8.799999999999999e-08,0,8.799999999999999e-08,0,8.799999999999999e-08,0,8.799999999999999e-08,0,8.799999999999999e-08,0.01222222222223495
9.199999999999999e-08,1.799990727901323,9.199999999999999e-08,0,9.199999999999999e-08,0,9.199999999999999e-08,0,9.199999999999999e-08,0,9.199999999999999e-08,0,9.199999999999999e-08,0,9.199999999999999e-08,0.01277777777777984
9.599999999999999e-08,0.0001374012162341625,9.599999999999999e-08,0,9.599999999999999e-08,0,9.599999999999999e-08,0,9.599999999999999e-08,0,9.599999999999999e-08,0,9.599999999999999e-08,0,9.599999999999999e-08,0.01333333333333694
9.999999999999998e-08,-9.763073572797371e-08,9.999999999999998e-08,0,9.999999999999998e-08,0,9.999999999999998e-08,0,9.999999999999998e-08,0,9.999999999999998e-08,0,9.999999999999998e-08,0,9.999999999999998e-08,0.01388888888888889
1.04e-07,1.799994643614741,1.04e-07,0,1.04e-07,0,1.04e-07,0,1.04e-07,0,1.04e-07,0,1.04e-07,0,1.04e-07,0.01444444444444785
1.08e-07,1.468444636117216e-08,1.08e-07,0,1.08e-07,0,1.08e-07,0,1.08e-07,0,1.08e-07,0,1.08e-07,0,1.08e-07,0.01500000000000855
1.12e-07,1.799989045678545,1.12e-07,0,1.12e-07,0,1.12e-07,0,1.12e-07,0,1.12e-07,0,1.12e-07,0,1.12e-07,0.01555555555556206
1.16e-07,0.0002730742161554357,1.16e-07,0,1.16e-07,0,1.16e-07,0,1.16e-07,0,1.16e-07,0,1.16e-07,0,1.16e-07,0.01611111111111885
1.2e-07,-3.669969773955782e-08,1.2e-07,0,1.2e-07,0,1.2e-07,0,1.2e-07,0,1.2e-07,0,1.2e-07,0,1.2e-07,0.01666666666666667
1.24e-07,1.799995080493362,1.24e-07,0,1.24e-07,0,1.24e-07,0,1.24e-07,0,1.24e-07,0,1.24e-07,0,1.24e-07,0.01722222222222893
1.28e-07,1.310375773603858e-08,1.28e-07,0,1.28e-07,0,1.28e-07,0,1.28e-07,0,1.28e-07,0,1.28e-07,0,1.28e-07,0.01777777777778331
1.32e-07,1.799989449577878,1.32e-07,0,1.32e-07,0,1.32e-07,0,1.32e-07,0,1.32e-07,0,1.32e-07,0,1.32e-07,0.01833333333333931
1.36e-07,0.0002315073061724281,1.36e-07,0,1.36e-07,0,1.36e-07,0,1.36e-07,0,1.36e-07,0,1.36e-07,0,1.36e-07,0.0188888888888905
1.4e-07,7.126605175610761e-08,1.4e-07,0,1.4e-07,0,1.4e-07,0,1.4e-07,0,1.4e-07,0,1.4e-07,0,1.4e-07,0.01944444444444445
1.44e-07,1.799995154690721,1.44e-07,1.8,1.44e-07,0,1.44e-07,0,1.44e-07,0,1.44e-07,0,1.44e-07,0.015625,1.44e-07,0.02000000000000562
1.48e-07,6.04406798361846e-08,1.48e-07,1.8,1.48e-07,0,1.48e-07,0,1.48e-07,0,1.48e-07,0,1.48e-07,0.015625,1.48e-07,0.02055555555555767
1.52e-07,1.799989225806687,1.52e-07,1.8,1.52e-07,0,1.52e-07,0,1.52e-07,0,1.52e-07,0,1.52e-07,0.015625,1.52e-07,0.02111111111111935
1.56e-07,0.0002735908190551759,1.56e-07,1.8,1.56e-07,0,1.56e-07,0,1.56e-07,0,1.56e-07,0,1.56e-07,0.015625,1.56e-07,0.02166666666666797
1.600000000000001e-07,-5.816842063861306e-08,1.600000000000001e-07,1.8,1.600000000000001e-07,0,1.600000000000001e-07,0,1.600000000000001e-07,0,1.600000000000001e-07,0,1.600000000000001e-07,0.015625,1.600000000000001e-07,0.02222222222222222
1.640000000000001e-07,1.799994871337542,1.640000000000001e-07,1.8,1.640000000000001e-07,0,1.640000000000001e-07,0,1.640000000000001e-07,0,1.640000000000001e-07,0,1.640000000000001e-07,0.015625,1.640000000000001e-07,0.02277777777778122
1.680000000000001e-07,2.681852930224247e-08,1.680000000000001e-07,1.8,1.680000000000001e-07,0,1.680000000000001e-07,0,1.680000000000001e-07,0,1.680000000000001e-07,0,1.680000000000001e-07,0.015625,1.680000000000001e-07,0.02333333333334345
1.720000000000001e-07,1.799988385078234,1.720000000000001e-07,1.8,1.720000000000001e-07,0,1.720000000000001e-07,0,1.720000000000001e-07,0,1.720000000000001e-07,0,1.720000000000001e-07,0.015625,1.720000000000001e-07,0.02388888888889943
1.760000000000001e-07,0.0001985577374350522,1.760000000000001e-07,1.8,1.760000000000001e-07,0,1.760000000000001e-07,0,1.760000000000001e-07,0,1.760000000000001e-07,0,1.760000000000001e-07,0.015625,1.760000000000001e-07,0.02444444444445119
