out0X,out0Y,out1X,out1Y,out2X,out2Y,out3X,out3Y,out4X,out4Y,SAR_out_analogX,SAR_out_analogY,SW_inpX,SW_inpY,VinX,VinY
5.5143e-08,0,5.5143e-08,0,5.5143e-08,0,5.5143e-08,0,5.5143e-08,0,5.5143e-08,0,5.5143e-08,0,5.5143e-08,0.346
5.5199e-08,0,5.5199e-08,0,5.5199e-08,0,5.5199e-08,0,5.5199e-08,0,5.5199e-08,0,5.5199e-08,0,5.5199e-08,0.34613
5.5245e-08,0,5.5245e-08,0,5.5245e-08,0,5.5245e-08,0,5.5245e-08,0,5.5245e-08,0,5.5245e-08,0,5.5245e-08,0.34623
5.5354e-08,0,5.5354e-08,0,5.5354e-08,0,5.5354e-08,0,5.5354e-08,0,5.5354e-08,0,5.5354e-08,0,5.5354e-08,0.34649
6.0006e-08,0,6.0006e-08,0,6.0006e-08,0,6.0006e-08,0,6.0006e-08,0,6.0006e-08,0,6.0006e-08,0,6.0006e-08,0.35694
6.0034e-08,0,6.0034e-08,0,6.0034e-08,0,6.0034e-08,0,6.0034e-08,0,6.0034e-08,0,6.0034e-08,0,6.0034e-08,0.357
6.0076e-08,0,6.0076e-08,0,6.0076e-08,0,6.0076e-08,0,6.0076e-08,0,6.0076e-08,0,6.0076e-08,0,6.0076e-08,0.35709
6.1213e-08,0,6.1213e-08,0,6.1213e-08,0,6.1213e-08,0,6.1213e-08,0,6.1213e-08,0,6.1213e-08,0,6.1213e-08,0.35958
6.5027e-08,0,6.5027e-08,0,6.5027e-08,0,6.5027e-08,0,6.5027e-08,0,6.5027e-08,0,6.5027e-08,0,6.5027e-08,0.36773
6.5073e-08,0,6.5073e-08,0,6.5073e-08,0,6.5073e-08,0,6.5073e-08,0,6.5073e-08,0,6.5073e-08,0,6.5073e-08,0.36782
6.513e-08,0,6.513e-08,1,6.513e-08,1,6.513e-08,1,6.513e-08,0,6.513e-08,0,6.513e-08,0,6.513e-08,0.36794
6.5248e-08,0,6.5248e-08,1,6.5248e-08,1,6.5248e-08,1,6.5248e-08,0,6.5248e-08,0,6.5248e-08,0,6.5248e-08,0.36819
6.5249e-08,0,6.5249e-08,1,6.5249e-08,1,6.5249e-08,1,6.5249e-08,0,6.5249e-08,0,6.5249e-08,0,6.5249e-08,0.36819
6.5265e-08,0,6.5265e-08,1,6.5265e-08,1,6.5265e-08,1,6.5265e-08,0,6.5265e-08,0,6.5265e-08,0,6.5265e-08,0.36823
6.532e-08,0,6.532e-08,1,6.532e-08,1,6.532e-08,1,6.532e-08,0,6.532e-08,0.087243,6.532e-08,0,6.532e-08,0.36834
6.6066e-08,0,6.6066e-08,1,6.6066e-08,1,6.6066e-08,1,6.6066e-08,0,6.6066e-08,0.21875,6.6066e-08,0,6.6066e-08,0.3699
7.0016e-08,0,7.0016e-08,1,7.0016e-08,1,7.0016e-08,1,7.0016e-08,0,7.0016e-08,0.21875,7.0016e-08,0,7.0016e-08,0.37792
7.0057e-08,0,7.0057e-08,1,7.0057e-08,1,7.0057e-08,1,7.0057e-08,0,7.0057e-08,0.21875,7.0057e-08,0,7.0057e-08,0.378
7.0176e-08,0,7.0176e-08,1,7.0176e-08,1,7.0176e-08,1,7.0176e-08,0,7.0176e-08,0.21875,7.0176e-08,0,7.0176e-08,0.37823
7.502e-08,0,7.502e-08,1,7.502e-08,1,7.502e-08,1,7.502e-08,0,7.502e-08,0.21875,7.502e-08,0,7.502e-08,0.38757
7.5058e-08,0,7.5058e-08,1,7.5058e-08,1,7.5058e-08,1,7.5058e-08,0,7.5058e-08,0.21875,7.5058e-08,0,7.5058e-08,0.38764
7.5092e-08,0,7.5092e-08,1,7.5092e-08,1,7.5092e-08,1,7.5092e-08,0,7.5092e-08,0.21875,7.5092e-08,1,7.5092e-08,0.3877
7.5179e-08,0,7.5179e-08,1,7.5179e-08,1,7.5179e-08,1,7.5179e-08,0,7.5179e-08,0.21875,7.5179e-08,1,7.5179e-08,0.38786
7.5199e-08,0,7.5199e-08,1,7.5199e-08,1,7.5199e-08,1,7.5199e-08,0,7.5199e-08,0.21875,7.5199e-08,1,7.5199e-08,0.3879
7.5251e-08,0,7.5251e-08,1,7.5251e-08,1,7.5251e-08,1,7.5251e-08,0,7.5251e-08,0.21875,7.5251e-08,1,7.5251e-08,0.388
7.5328e-08,0,7.5328e-08,1,7.5328e-08,1,7.5328e-08,1,7.5328e-08,0,7.5328e-08,0.21875,7.5328e-08,1,7.5328e-08,0.38814
7.7589e-08,0,7.7589e-08,1,7.7589e-08,1,7.7589e-08,1,7.7589e-08,0,7.7589e-08,0.21875,7.7589e-08,1,7.7589e-08,0.39229
8.002e-08,0,8.002e-08,1,8.002e-08,1,8.002e-08,1,8.002e-08,0,8.002e-08,0.21875,8.002e-08,1,8.002e-08,0.39661
8.0052e-08,0,8.0052e-08,1,8.0052e-08,1,8.0052e-08,1,8.0052e-08,0,8.0052e-08,0.21875,8.0052e-08,1,8.0052e-08,0.39666
8.0136e-08,0,8.0136e-08,1,8.0136e-08,1,8.0136e-08,1,8.0136e-08,0,8.0136e-08,0.21875,8.0136e-08,1,8.0136e-08,0.39681
8.0316e-08,0,8.0316e-08,1,8.0316e-08,1,8.0316e-08,1,8.0316e-08,0,8.0316e-08,0.21875,8.0316e-08,0,8.0316e-08,0.39712
8.502e-08,0,8.502e-08,1,8.502e-08,1,8.502e-08,1,8.502e-08,0,8.502e-08,0.21875,8.502e-08,0,8.502e-08,0.40502
8.5054e-08,0,8.5054e-08,1,8.5054e-08,1,8.5054e-08,1,8.5054e-08,0,8.5054e-08,0.21875,8.5054e-08,0,8.5054e-08,0.40508
8.5087e-08,0,8.5087e-08,1,8.5087e-08,1,8.5087e-08,1,8.5087e-08,0,8.5087e-08,0.21875,8.5087e-08,0,8.5087e-08,0.40513
8.5173e-08,0,8.5173e-08,1,8.5173e-08,1,8.5173e-08,1,8.5173e-08,0,8.5173e-08,0.21875,8.5173e-08,0,8.5173e-08,0.40527
8.5196e-08,0,8.5196e-08,1,8.5196e-08,1,8.5196e-08,1,8.5196e-08,0,8.5196e-08,0.21875,8.5196e-08,0,8.5196e-08,0.40531
8.5247e-08,0,8.5247e-08,1,8.5247e-08,1,8.5247e-08,1,8.5247e-08,0,8.5247e-08,0.21875,8.5247e-08,0,8.5247e-08,0.40539
8.5247e-08,0,8.5247e-08,1,8.5247e-08,1,8.5247e-08,1,8.5247e-08,0,8.5247e-08,0.21875,8.5247e-08,0,8.5247e-08,0.40539
8.5257e-08,0,8.5257e-08,1,8.5257e-08,1,8.5257e-08,1,8.5257e-08,0,8.5257e-08,0.21875,8.5257e-08,0,8.5257e-08,0.4054
8.5303e-08,0,8.5303e-08,1,8.5303e-08,1,8.5303e-08,1,8.5303e-08,0,8.5303e-08,0.21875,8.5303e-08,0,8.5303e-08,0.40548
8.5693e-08,0,8.5693e-08,1,8.5693e-08,1,8.5693e-08,1,8.5693e-08,0,8.5693e-08,0.21875,8.5693e-08,0,8.5693e-08,0.4061
9.0011e-08,0,9.0011e-08,1,9.0011e-08,1,9.0011e-08,1,9.0011e-08,0,9.0011e-08,0.21875,9.0011e-08,0,9.0011e-08,0.41277
9.0046e-08,0,9.0046e-08,1,9.0046e-08,1,9.0046e-08,1,9.0046e-08,0,9.0046e-08,0.21875,9.0046e-08,0,9.0046e-08,0.41282
9.0103e-08,0,9.0103e-08,1,9.0103e-08,1,9.0103e-08,1,9.0103e-08,0,9.0103e-08,0.21875,9.0103e-08,0,9.0103e-08,0.4129
9.501e-08,0,9.501e-08,1,9.501e-08,1,9.501e-08,1,9.501e-08,0,9.501e-08,0.21875,9.501e-08,0,9.501e-08,0.41984
9.5044e-08,0,9.5044e-08,1,9.5044e-08,1,9.5044e-08,1,9.5044e-08,0,9.5044e-08,0.21875,9.5044e-08,0,9.5044e-08,0.41989
9.5081e-08,0,9.5081e-08,1,9.5081e-08,1,9.5081e-08,1,9.5081e-08,0,9.5081e-08,0.21875,9.5081e-08,0,9.5081e-08,0.41994
9.5169e-08,0,9.5169e-08,1,9.5169e-08,1,9.5169e-08,1,9.5169e-08,0,9.5169e-08,0.21875,9.5169e-08,0,9.5169e-08,0.42006
9.5226e-08,0,9.5226e-08,1,9.5226e-08,1,9.5226e-08,1,9.5226e-08,0,9.5226e-08,0.21875,9.5226e-08,0,9.5226e-08,0.42013
9.5297e-08,0,9.5297e-08,1,9.5297e-08,1,9.5297e-08,1,9.5297e-08,0,9.5297e-08,0.21875,9.5297e-08,0,9.5297e-08,0.42023
9.7312e-08,0,9.7312e-08,1,9.7312e-08,1,9.7312e-08,1,9.7312e-08,0,9.7312e-08,0.21875,9.7312e-08,0,9.7312e-08,0.42287
1.0002e-07,0,1.0002e-07,1,1.0002e-07,1,1.0002e-07,1,1.0002e-07,0,1.0002e-07,0.21875,1.0002e-07,0,1.0002e-07,0.42623
1.0006e-07,0,1.0006e-07,1,1.0006e-07,1,1.0006e-07,1,1.0006e-07,0,1.0006e-07,0.21875,1.0006e-07,0,1.0006e-07,0.42628
1.0024e-07,0,1.0024e-07,1,1.0024e-07,1,1.0024e-07,1,1.0024e-07,0,1.0024e-07,0.21875,1.0024e-07,0,1.0024e-07,0.4265
1.0502e-07,0,1.0502e-07,1,1.0502e-07,1,1.0502e-07,1,1.0502e-07,0,1.0502e-07,0.21875,1.0502e-07,0,1.0502e-07,0.43188
1.0506e-07,0,1.0506e-07,1,1.0506e-07,1,1.0506e-07,1,1.0506e-07,0,1.0506e-07,0.21875,1.0506e-07,0,1.0506e-07,0.43193
1.051e-07,0,1.051e-07,1,1.051e-07,1,1.051e-07,1,1.051e-07,0,1.051e-07,0.21875,1.051e-07,0,1.051e-07,0.43196
1.0519e-07,0,1.0519e-07,1,1.0519e-07,1,1.0519e-07,1,1.0519e-07,0,1.0519e-07,0.21875,1.0519e-07,0,1.0519e-07,0.43206
1.0524e-07,0,1.0524e-07,1,1.0524e-07,1,1.0524e-07,1,1.0524e-07,0,1.0524e-07,0.21875,1.0524e-07,0,1.0524e-07,0.43212
1.0532e-07,0,1.0532e-07,1,1.0532e-07,1,1.0532e-07,1,1.0532e-07,0,1.0532e-07,0.21875,1.0532e-07,0,1.0532e-07,0.43219
1.1001e-07,0,1.1001e-07,1,1.1001e-07,1,1.1001e-07,1,1.1001e-07,0,1.1001e-07,0.21875,1.1001e-07,0,1.1001e-07,0.43678
1.1003e-07,0,1.1003e-07,1,1.1003e-07,1,1.1003e-07,1,1.1003e-07,0,1.1003e-07,0.21875,1.1003e-07,0,1.1003e-07,0.43681
1.1008e-07,0,1.1008e-07,1,1.1008e-07,1,1.1008e-07,1,1.1008e-07,0,1.1008e-07,0.21875,1.1008e-07,0,1.1008e-07,0.43684
1.1121e-07,0,1.1121e-07,1,1.1121e-07,1,1.1121e-07,1,1.1121e-07,0,1.1121e-07,0.21875,1.1121e-07,0,1.1121e-07,0.43785
1.1503e-07,0,1.1503e-07,1,1.1503e-07,1,1.1503e-07,1,1.1503e-07,0,1.1503e-07,0.21875,1.1503e-07,0,1.1503e-07,0.44095
