/input X,/input Y,/reference X,/reference Y,/CLK X,/CLK Y,/outn X,/outn Y
1.005902536096995e-08,0.7625316190517893,1.005902536096995e-08,0.7,1.005902536096995e-08,0.5255683785472531,1.005902536096995e-08,1.848689655579532
1.006709148498086e-08,0.7625806877316814,1.006709148498086e-08,0.7,1.006709148498086e-08,0.6505468812973181,1.006709148498086e-08,1.84204095597479
1.007718468790929e-08,0.7626420841248879,1.007718468790929e-08,0.7,1.007718468790929e-08,0.7997448682511857,1.007718468790929e-08,1.796124605689898
1.009061978979352e-08,0.7627238028494283,1.009061978979352e-08,0.7,1.009061978979352e-08,0.9856636115166754,1.009061978979352e-08,1.668648990072902
1.0106026716894e-08,0.7628175063559361,1.0106026716894e-08,0.7,1.0106026716894e-08,1.175091555068525,1.0106026716894e-08,1.424191073198792
1.01194376277294e-08,0.7628990626090779,1.01194376277294e-08,0.7,1.01194376277294e-08,1.312077305115782,1.01194376277294e-08,1.133277461696488
1.012986556248584e-08,0.7629624734449603,1.012986556248584e-08,0.7,1.012986556248584e-08,1.396398380549387,1.012986556248584e-08,0.8659718576459627
1.013841836575572e-08,0.7630144786364281,1.013841836575572e-08,0.7,1.013841836575572e-08,1.453391775612758,1.013841836575572e-08,0.6390074430798389
1.014501004797034e-08,0.7630545572742422,1.014501004797034e-08,0.7,1.014501004797034e-08,1.487151202729059,1.014501004797034e-08,0.480786803482513
1.015170999418507e-08,0.7630952924036066,1.015170999418507e-08,0.7,1.015170999418507e-08,1.510674740984835,1.015170999418507e-08,0.3501399035230188
1.015819496665352e-08,0.7631347188061944,1.015819496665352e-08,0.7,1.015819496665352e-08,1.530232689354698,1.015819496665352e-08,0.251847163372841
1.016507237977711e-08,0.7631765292805632,1.016507237977711e-08,0.7,1.016507237977711e-08,1.553040551507831,1.016507237977711e-08,0.1722332446873886
1.017406246352808e-08,0.7632311806564682,1.017406246352808e-08,0.7,1.017406246352808e-08,1.585998831063731,1.017406246352808e-08,0.1030037717108964
1.018295214119267e-08,0.7632852184822896,1.018295214119267e-08,0.7,1.018295214119267e-08,1.61906499437865,1.018295214119267e-08,0.06399275907915317
1.019285005983852e-08,0.7633453814017896,1.019285005983852e-08,0.7,1.019285005983852e-08,1.65283377591388,1.019285005983852e-08,0.03950816128698746
1.020391252780292e-08,0.7634126182094618,1.020391252780292e-08,0.7,1.020391252780292e-08,1.684999162375206,1.020391252780292e-08,0.02449905465352691
1.02174974180459e-08,0.763495179394412,1.02174974180459e-08,0.7,1.02174974180459e-08,1.716245793893299,1.02174974180459e-08,0.0147797273457044
1.023459019041184e-08,0.7635990489619253,1.023459019041184e-08,0.7,1.023459019041184e-08,1.744520071835155,1.023459019041184e-08,0.008492862738830331
1.025718600022673e-08,0.7637363414380233,1.025718600022673e-08,0.7,1.025718600022673e-08,1.768307060377152,1.025718600022673e-08,0.004427945474500336
1.028923540225824e-08,0.7639310388162346,1.028923540225824e-08,0.7,1.028923540225824e-08,1.786110979809662,1.028923540225824e-08,0.001852411243311943
1.032686057462908e-08,0.7641595555818625,1.032686057462908e-08,0.7,1.032686057462908e-08,1.794883148135166,1.032686057462908e-08,0.0006691061509702927
1.037212947395201e-08,0.7644344205232733,1.037212947395201e-08,0.7,1.037212947395201e-08,1.798554822393305,1.037212947395201e-08,0.0001984433520258318
1.042911538847831e-08,0.7647803105324944,1.042911538847831e-08,0.7,1.042911538847831e-08,1.799740696687291,1.042911538847831e-08,2.979563772973837e-05
1.050876897554954e-08,0.7652635647154582,1.050876897554954e-08,0.7,1.050876897554954e-08,1.799986586769608,1.050876897554954e-08,1.534061887105442e-06
1.062991702762514e-08,0.7659980615990473,1.062991702762514e-08,0.7,1.062991702762514e-08,1.799983685537833,1.062991702762514e-08,-1.574353548608638e-06
1.084641801498197e-08,0.7673091364630258,1.084641801498197e-08,0.7,1.084641801498197e-08,1.799984669484312,1.084641801498197e-08,1.260998203091838e-06
1.127941998969562e-08,0.7699252689126671,1.127941998969562e-08,0.7,1.127941998969562e-08,1.799986329488585,1.127941998969562e-08,-1.130654764210398e-06
1.214542393912294e-08,0.7751323815942137,1.214542393912294e-08,0.7,1.214542393912294e-08,1.799990393154926,1.214542393912294e-08,1.099383912015497e-06
1.357771196956147e-08,0.7836651693370015,1.357771196956147e-08,0.7,1.357771196956147e-08,1.799992625484632,1.357771196956147e-08,-1.062306262123881e-06
1.501e-08,0.7920895548435104,1.501e-08,0.7,1.501e-08,1.799995109434771,1.501e-08,1.042885732631431e-06
1.501597354400097e-08,0.7921244475248139,1.501597354400097e-08,0.7,1.501597354400097e-08,1.796993215675046,1.501597354400097e-08,-0.0006173472290450116
1.502e-08,0.7921479656989716,1.502e-08,0.7,1.502e-08,1.797685335449172,1.502e-08,-0.0001852240837667607
1.502042378789974e-08,0.7921504409518123,1.502042378789974e-08,0.7,1.502042378789974e-08,1.798614680337061,1.502042378789974e-08,0.0001666904013646574
1.502118930182087e-08,0.7921549121254347,1.502118930182087e-08,0.7,1.502118930182087e-08,1.800308852112672,1.502118930182087e-08,0.0006578205644301074
1.502202315156879e-08,0.7921597823925601,1.502202315156879e-08,0.7,1.502202315156879e-08,1.802188054444549,1.502202315156879e-08,0.001169808611015609
1.502369085106463e-08,0.7921695228053813,1.502369085106463e-08,0.7,1.502369085106463e-08,1.805822022246869,1.502369085106463e-08,0.002062328262912845
1.502702625005631e-08,0.792189003145244,1.502702625005631e-08,0.7,1.502702625005631e-08,1.812624209830669,1.502702625005631e-08,0.00340581160620742
1.503369704803967e-08,0.7922279618813722,1.503369704803967e-08,0.7,1.503369704803967e-08,1.824447757358929,1.503369704803967e-08,0.004806491885800608
1.504150188207727e-08,0.7922735403139911,1.504150188207727e-08,0.7,1.504150188207727e-08,1.826117151537982,1.504150188207727e-08,0.002882526127129641
1.504897504716591e-08,0.7923171785490386,1.504897504716591e-08,0.7,1.504897504716591e-08,1.798164676654197,1.504897504716591e-08,-0.005969092113653936
1.505765014761261e-08,0.7923678311899731,1.505765014761261e-08,0.7,1.505765014761261e-08,1.717665781528972,1.505765014761261e-08,-0.02384129200386312
1.506850583660135e-08,0.7924312097826334,1.506850583660135e-08,0.7,1.506850583660135e-08,1.540832264099515,1.506850583660135e-08,-0.05164183430506206
1.507882707867653e-08,0.7924914617420059,1.507882707867653e-08,0.7,1.507882707867653e-08,1.316199276461384,1.507882707867653e-08,-0.07713819991729144
1.508984276674155e-08,0.7925557607788547,1.508984276674155e-08,0.7,1.508984276674155e-08,1.047241980403261,1.508984276674155e-08,-0.1011766813459701
1.510009692583035e-08,0.7926156083634338,1.510009692583035e-08,0.7,1.510009692583035e-08,0.7867740305601177,1.510009692583035e-08,-0.1234440113525058
1.5110520858934e-08,0.7926764405156675,1.5110520858934e-08,0.7,1.5110520858934e-08,0.5298753429544347,1.5110520858934e-08,-0.14656587423377
1.512062580718379e-08,0.7927354050593169,1.512062580718379e-08,0.7,1.512062580718379e-08,0.3155094208133823,1.512062580718379e-08,-0.1663595589893388
1.513082190059629e-08,0.7927948953921182,1.513082190059629e-08,0.7,1.513082190059629e-08,0.1627474609587011,1.513082190059629e-08,-0.181874185776277
1.514027189760908e-08,0.7928500270948277,1.514027189760908e-08,0.7,1.514027189760908e-08,0.07975926530419926,1.514027189760908e-08,-0.1895682273500498
1.515035024897465e-08,0.7929088188732168,1.515035024897465e-08,0.7,1.515035024897465e-08,0.03708124305100785,1.515035024897465e-08,-0.1926689080899396
1.516208222799528e-08,0.7929772495333494,1.516208222799528e-08,0.7,1.516208222799528e-08,0.0172079865186887,1.516208222799528e-08,-0.1937654528079394
1.51727319915645e-08,0.7930393608135657,1.51727319915645e-08,0.7,1.51727319915645e-08,0.01035971175964684,1.51727319915645e-08,-0.1937431795725258
1.518553533288564e-08,0.7931140233112906,1.518553533288564e-08,0.7,1.518553533288564e-08,0.006485579908360527,1.518553533288564e-08,-0.1932527559077018
1.520249376201908e-08,0.7932129012989833,1.520249376201908e-08,0.7,1.520249376201908e-08,0.003881024966637417,1.520249376201908e-08,-0.192254238498123
